size,dimension,correlation,noise_std,sample_size,epochs,Average,AIC
100,10,0,0.2,100,100,0.99474,33.05934
300,10,0,0.2,100,100,0.99752,11.91807
500,10,0,0.2,100,100,0.99173,-138.09457
1000,10,0,0.2,100,100,0.997,-213.65013
1500,10,0,0.2,100,100,0.99307,-310.61805
100,10,0,0.5,100,100,0.96781,170.50295
300,10,0,0.5,100,100,0.98469,424.2489
500,10,0,0.5,100,100,0.95099,549.12348
1000,10,0,0.5,100,100,0.98151,1160.78597
1500,10,0,0.5,100,100,0.95786,1751.03609
100,10,0.9,0.5,100,100,0.59771,135.05026
300,10,0.9,0.5,100,100,0.62306,433.45459
500,10,0.9,0.5,100,100,0.20792,547.59655
1000,10,0.9,0.5,100,100,0.42587,1191.05533
1500,10,0.9,0.5,100,100,0.67753,1764.45993
