size,dimension,correlation,noise_std,sample_size,epochs,Average,AIC
500,10,0.0,0.2,10,10,0.81917,-138.09457
500,10,0.0,0.2,10,100,0.2996,-138.09457
500,10,0.0,0.2,10,500,0.54963,-138.09457
500,10,0.0,0.2,10,1000,0.66441,-138.09457
500,10,0.0,0.2,50,10,0.99095,-138.09457
500,10,0.0,0.2,50,100,0.99061,-138.09457
500,10,0.0,0.2,50,500,0.99051,-138.09457
500,10,0.0,0.2,50,1000,0.99062,-138.09457
500,10,0.0,0.2,100,10,0.99168,-138.09457
500,10,0.0,0.2,100,100,0.99183,-138.09457
500,10,0.0,0.2,100,500,0.99172,-138.09457
500,10,0.0,0.2,100,1000,0.99173,-138.09457
500,20,0,0.5,10,10,0.38235,658.79556
500,20,0,0.5,10,100,0.35251,658.79556
500,20,0,0.5,10,500,0.37423,658.79556
500,20,0,0.5,10,1000,0.3654,658.79556
500,20,0,0.5,50,10,0.97461,658.79556
500,20,0,0.5,50,100,0.9727,658.79556
500,20,0,0.5,50,500,0.97277,658.79556
500,20,0,0.5,50,1000,0.97302,658.79556
500,20,0,0.5,100,10,0.98051,658.79556
500,20,0,0.5,100,100,0.98045,658.79556
500,20,0,0.5,100,500,0.98056,658.79556
500,20,0,0.5,100,1000,0.98055,658.79556
500,20,0.9,0.5,10,10,0.72746,659.58656
500,20,0.9,0.5,10,100,0.73195,659.58656
500,20,0.9,0.5,10,500,0.73904,659.58656
500,20,0.9,0.5,10,1000,0.73716,659.58656
500,20,0.9,0.5,50,10,0.85257,659.58656
500,20,0.9,0.5,50,100,0.84448,659.58656
500,20,0.9,0.5,50,500,0.84277,659.58656
500,20,0.9,0.5,50,1000,0.84468,659.58656
500,20,0.9,0.5,100,10,0.88649,659.58656
500,20,0.9,0.5,100,100,0.88838,659.58656
500,20,0.9,0.5,100,500,0.88795,659.58656
500,20,0.9,0.5,100,1000,0.88828,659.58656
